ANSP / Drexel ID,Neotoma Site ID,Site name,Neotoma Diatom Dataset Id,Neotoma Water Chemistry Dataset ID
37,24302,Unnamed,42775,
37,24354,Upper Cassadaga Lake,42832,
37,24318,Upper Danforth Pond,42791,
37,24327,Upper Kimball Pond,42801,
37,24371,Vail,42852,
37,24358,Waits,42838,
37,24361,Weatherhead Hollow Pond,42841,
37,24283,West Hill Pond,42751,
37,24329,White Lake,42803,
37,24364,Zack Woods,42845,
9,25899,(The) Horns P.,44764,44830
9,25900,Bean P.,44765,44831
9,25901,Beaver P.,44766,44832
9,25902,Black Mountain P.,44767,44833
9,25903,Black P.,44768,44834
9,13048,Branch P.,44769,44835
9,25904,Carter P. (Upper),44770,44836
9,24185,Cone P.,44771,44837
9,25905,Crystal P.,44772,44838
9,25906,Darrah P.,44773,44839
9,25907,East Chairback P.,44774,44840
9,25908,Ethan P.,44775,44841
9,25909,Fitts P.,44776,44842
9,25910,Goodall P.,44777,44843
9,25911,Granger P.,44778,44844
9,25912,Griffith P.,44779,44845
9,18865,Haystack P.,44780,44846
9,25913,Heald P.,44781,44847
9,25914,Horseshoe P.,44782,44848
9,25915,Horton P.,44783,44849
9,25916,Hough P. (Huff P.),44784,44850
9,25917,Hunnewell L.,44785,44851
9,25918,Jackson P.,44786,44852
9,25919,Jellison Hill P.,44787,44853
9,25920,Jimmie P.,44788,44854
9,25921,Kiah P.,44789,44855
9,25922,Kings Hill P.,44790,44856
9,25923,Klondike P.,44791,44857
9,25924,Lake Constance,NA,44858
9,25925,Ledge P.,44792,44859
9,25926,Levi P.,44793,44860
9,25927,Little East P.,44794,44861
9,25928,Little Ellis P.,44795,44862
9,18872,Little Long P.,44796,44863
9,25929,Little Sebago L.,44797,44864
9,25930,Long P. (Beaver Mt.),44798,44865
9,25931,Loon P.,44799,44866
9,1615,Lost P.,44800,44867
9,25932,Lower Greeley P.,44801,44868
9,25933,Middle Hall P.,44802,44869
9,25934,Moulton P.,44803,44870
9,25935,Mountain P. (Rangeley),44804,44871
9,25936,Mud P.,44805,44872
9,25937,North Beaverdam L.,44806,44873
9,25938,North King P.,44807,44874
9,25939,Osmore P.,44808,44875
9,25940,Peep L.,44809,44876
9,25941,Pigeon P.,44810,44877
9,25942,Piper P.,44811,44878
9,25943,Salmon P.,44812,44879
9,25944,Sand P.,44813,44880
9,25945,Sargent Mountain P.,44814,44881
9,25946,Solitude P.,44815,44882
9,25947,Speck P.,44816,44883
9,25948,Tumbledown P.,44817,44884
9,25949,Turner P.,44818,44885
9,25950,Unknown P.,44819,44886
9,25951,Unnamed P.,44820,44887
9,25952,Upper Greeley P.,44821,44888
9,25953,Walton P.,44822,44889
9,25954,West Garland P.,44823,44890
9,25955,Westford P.,44824,44891
9,25956,Worthley P.,44825,44892
41,14202,YU-100,53772,
41,14202,YU-101,53773,
41,14202,YU-61,53774,
41,14202,YU-67,53775,
41,14202,YU-84,53776,
41,14202,YU-85,53777,
41,14202,YU-86,53778,
41,14202,YU-87,53779,
41,14202,YU-88,53780,
41,14202,NE98-6BXB,53781,
41,14202,NE98-3BXB,53782,
41,14202,NE98-4BXB,53783,
41,14202,NE98-5BXB,53784,
41,14202,NE98-1BXB,53785,
41,14202,08-VI-97-3,53786,
41,14202,NE98-9BXB,53787,
41,14202,05-VI-97-1,53788,
41,14202,05-VI-97-2,53789,
41,14202,05-VI-97-3,53790,
41,14202,05-VI-97-4,53791,
41,14202,05-VI-97-5,53792,
41,14202,05-VI-97-6,53793,
41,14202,04-VI-97-1,53794,
41,14202,04-VI-97-2,53795,
41,14202,04-VI-97-4,53796,
41,14202,04-VI-97-3,53797,
41,14202,04-VI-97-5,53798,
41,14202,04-VI-97-6,53799,
41,14202,04-VI-97-7,53800,
41,14202,NE98-10BXB,53801,
41,14202,NE98-11BXB,53802,
10,8553,Lake Albert,54039,54105
10,9770,Alkali Lake,54040,54106
10,28900,Basin,54041,54110
10,28901,Big Quill,54042,54111
10,28902,Bitter,54043,54112
10,28903,Boucher,54044,54114
10,24504,Lake Byron,54045,54115
10,28908,Coldwater,54052,54116
10,9765,Coon Lake,54053,54117
10,19022,Deadmoose,54054,54118
10,28909,Devils,54055,54119
10,9671,Eckelson Lake,54056,54120
10,28910,E. Coteau,54057,54121
10,28911,E. Devils,54058,54122
10,9679,Elbow Lake,54059,54123
10,18983,Fife,54060,54125
10,28912,Fishing,54061,54126
10,9682,Free Peoples Lake,54062,54127
10,9681,Lake George,54063,54128
10,9767,Hazelden Lake,54064,54129
10,9702,Lake Herman,54065,54130
10,9750,Horseshoe Lake,54066,54131
10,13631,Humboldt Lake,54067,54132
10,9703,Lake Isabel,54068,54133
10,19033,Lenore,54069,54134
10,28913,Long,54070,54135
10,9776,Lake Madison,54072,54136
10,1676,Medicine Lake,54073,54138
10,9732,"Devils Lake, Mission Bay",54074,54139
10,1711,Moon Lake,54075,54140
10,9772,Lake Norden,54076,54143
10,9678,Lake Oakwood,54077,54144
10,18495,Opunitia,54078,54145
10,28914,Piyas,54079,54146
10,9775,Lake Poinsett,54080,54147
10,28915,Porter,54081,54148
10,28916,Rabbit,54082,54149
10,17712,Redberry Lake,54083,54150
10,28917,Reflex,54084,54151
10,28918,Roslyn Pond,54085,54152
10,9680,Round Lake,54086,54153
10,9715,Round Lake,54087,54154
10,9701,Roy Lake,54088,54155
10,28919,Sayer,54089,54156
10,9749,Shin Bone Lake,54090,54158
10,9739,Spring Lake,54091,54159
10,1222,Spiritwood Lake,54092,54160
10,9704,Stink Lake,54093,54161
10,9709,Stink Lake,54094,54162
10,28920,Tramping,54095,54163
10,9716,Twin Lakes (Be),54096,54164
10,1997,Wakaw,54097,54165
10,18114,Waldsea,54098,54166
10,11764,Waubay Lake,54099,54167
10,9763,West Stump Lake,54100,54170
10,8556,Alkaline,,54107
10,28921,Antelope,,54108
10,28922,Aroma,,54109
10,9651,Bitter (US),,54113
10,9764,E. Stump,,54124
10,28923,Manito,,54137
10,28924,Muskiki,,54141
10,28925,N. Blaine,,54142
10,28926,S. Blaine,,54157
10,28927,Whiteshore,,54168
10,28928,Willowbunch,,54169
11,26507,Amphitheater L.,46137,46182
11,26508,Barney L.,46138,46183
11,26509,Blue L.,46139,46184
11,26510,Breeze L.,46140,46185
11,26511,Bright Dot L.,46141,46186
11,26512,Bullfrog L.,46142,46187
11,26513,Columbine L.,46143,46188
11,26514,Constance L.,46144,46189
11,26515,Consultation L.,46145,46190
11,9712,Convict L.,46146,46191
11,26516,Cottonwood L.,46147,46192
11,26517,Dade L.,46148,46193
11,26518,Dragon L.,46149,46194
11,26519,Eastern Brook L.,46150,46195
11,13740,Eastern Twin L.,46151,46196
11,26520,Edna L.,46152,46197
11,26521,Emerald L.,46153,46198
11,26522,Fairy Shrimp L.,46154,46199
11,26523,Gem L.,46155,46200
11,26524,Harriet L.,46156,46201
11,26525,Heather (Tahoe) L.,46157,46202
11,26526,Kearsarge L.,46158,46203
11,26527,Kuna L. (11600),46159,46204
11,26528,Lake 45,46160,46205
11,26529,Lake 5,46161,46206
11,26530,Lake Dorothy,46162,46207
11,26531,Lake LeConte,46163,46208
11,26532,U Lake Wit-So-Nah-Pah,46164,46209
11,26533,Lower Cathedral L.,46165,46210
11,13742,Lundy L.,46166,46211
11,26534,Mosquito Lake 1,46167,46212
11,26535,Mosquito Lake 3,46168,46213
11,26536,Mosquito Lake 5,46169,46214
11,26537,Parker Pass L.,46170,46215
11,26538,Ruby L.,46171,46216
11,26539,Summit L.,46172,46217
11,26540,Tablemeadow L.,46173,46218
11,26541,Upper Angora L.,46174,46219
11,26542,Upper Frog L.,46175,46220
11,26543,Upper Gaylor L.,46176,46221
11,26544,Upper Granite L.,46177,46222
11,26545,Upper Rae L.,46178,46223
11,26546,Upper Treasure L.,46179,46224
11,13741,Western Twin L.,46180,46225
11,26547,Woods L.,46181,46226
17,13484,CI08,20300,20299
17,13485,CI09,20302,20301
17,13489,Lake S40,20318,20317
17,13497,Lake E505,20334,20333
17,13490,Long Lake,20320,20319
17,13491,Kettle Lake,20322,20321
17,13492,E509,20324,20323
17,13493,Lake E507,20326,20325
17,13494,E506,20328,20327
17,13495,HW06,20330,20329
17,13496,HW05,20332,20331
17,13497,Lake E505,20334,20333
17,13498,Lake E503,20336,20335
17,13500,Lake HW03,20339,20338
17,13501,Lake HW02,20341,20340
17,13502,Lake HW07,20343,20342
17,13503,Lake E515,20345,20344
17,13504,Lake E511,20347,20346
17,13505,Lake CI17,20349,20348
17,13506,Lake DV23,20351,20350
17,13508,CI22,20355,20354
17,13509,Lake DV07,20357,20356
17,13510,Lake CI23,20359,20358
17,13511,Lake DV10,20361,20360
17,13512,Lake DV05,20363,20362
17,13513,CI25,20365,20364
17,13514,Lake DV06,20367,20366
17,13515,Lake CI26,20369,20368
17,13517,Lake CI34,20374,20373
17,13518,Lake DV08 ,20376,20375
17,13519,Lake CI33,20378,20377
17,13520,Lake CI29,20380,20379
17,13521,Lake DV01,20382,20381
17,13522,Lake DV02,20384,20383
17,13523,Lake CI32,20386,20385
17,13524,Lake CI31,20388,20387
17,13527,Allen Lake,20394,20393
17,13529,Wolf Lake,20399,20398
17,13530,Lake CI14,20401,20400
17,13545,Lake WB07,20433,20432
17,13558,Lake WB01,20457,20456
17,13559,Lake WB05,20459,20458
17,13560,Lake WB02,20461,20460
17,13561,Lake WB04,20463,20462
17,13562,Lake WB03,20465,20464
17,13563,Lake CI12,20467,20466
17,13564,Lake CI11,20469,20468
17,13565,Like CI10,20471,20470
17,13566,Lake KR07,20473,20472
17,13567,Lake KR02,20477,20476
17,13568,Lake KR01,20479,20478
17,13569,Lake KR04,20481,20480
17,13570,Lake KR08,20483,20482
17,13571,Lake JR02,20485,20484
17,13572,Lake JR01,20487,20486
17,13573,Lake JR05,20489,20488
17,13574,Lake JR06,20491,20490
18,11863,Anderson Lake,17964,17963
18,11864,Bayers,17966,17965
18,11865,Bell Lake,17968,17967
18,11866,Cranberry Lake,17970,17969
18,11867,Frasers Lake,17972,17971
18,11868,Kinsac lake,17974,17973
18,11869,Little Albro Lake,17976,17975
18,11870,Little Springfield,17978,17977
18,11871,Maynard Lake,17980,17979
18,11872,Miller Lake,17982,17981
18,11873,Powder Mill,17984,17983
18,11874,Russell Lake,17986,17985
18,11875,Soldier Lake,17988,17987
18,11879,Thomas Lake,17999,17998
18,11880,Whimsical Lake,18001,18000
18,11881,Chocolate Lake,18003,18002
18,11882,First Chain Lake,18005,18004
18,11883,Frenchman Lake,18007,18006
18,11884,Lake Major,18009,18008
18,11885,Second Lake,18011,18010
18,11886,Shubenacadie Grand Lake,18013,18012
18,11887,Topsail Lake,18015,18014
18,11888,Big Albro Lake,18017,18016
18,11892,Frog Pond,18025,18024
18,11893,Governor Lake,18027,18026
18,11894,Kearney Lake,18029,18028
18,11895,Lemont Lake,18031,18030
18,11896,Long Lake,18033,18032
18,11897,Loon Lake,18035,18034
18,11898,McCabe Lake,18037,18036
18,11899,Lake MicMac ,18039,18038
18,11900,Oat Hill,18041,18040
18,11901,Paper Mill,18043,18042
18,11902,Powers Pond,18045,18044
18,11903,Rocky Lake,18047,18046
18,11904,Sandy Lake,18049,18048
18,11906,Second Lake,18055,18054
18,11908,Springfield Lake,18057,18056
18,11911,Lake William,18065,18064
18,11912,Williams Lake,18067,18066
18,11913,Lake Banook,18069,18068
18,11914,Bisset Lake,18071,18070
18,11915,Lake Charles,18073,18072
18,11916,Fletchers Lake,18075,18074
18,11917,Morris Lake,18077,18076
18,11918,Pennhorn lake,18079,18078
18,11919,Settle Lake,18081,18080
19,11861,Beaverskin Lake,17958,
19,11826,Big Dam Lake East,17955,
19,11827,Big Dam Lake West,17954,
19,11803,Cradle Lake,17961,
19,11858,Deer Lake,17952,
19,11848,Dundas (Lake 4),17962,
19,11860,Frozen Ocean Lake,17956,
19,11760,Grafton Lake,17738,
19,11777,Lake of Islands,17814,
19,11763,Pebbleloggitch Lake,17772,
19,11836,Peskawa Lake,17957,
19,11846,Peskowesk Lake,17953,
19,11812,Warren Lake,17960,
19,11782,White Hill Lake,17819,
20,29,Lake Allie,17473,
20,318,Burntside Lake,17506,
20,344,Cedar Bog,17642,
20,697,Dogfish Lake,17480,
20,1526,Kylen Lake,17670,
20,1548,Lake Carlson,17532,
20,1664,McCraney Lake,17411,
20,1820,Pennington Lake,17679,
20,2293,Shagawa Lake,17508,
20,2524,Sunfish Lake,17663,
20,2548,Quallen Lake [Terhell Pond],17550,
20,7532,Cottonwood Lake,17471,
20,9594,Beaver Lake,17584,
20,9825,Kelly-Dudley Lake,17564,
20,9940,Dead Coon Lake,17447,
20,10091,Elk Lake,17645,
20,10134,Little Horseshoe Lake,17661,
20,10144,Saint Olaf Lake,17580,
20,11612,Pickerel Lake,17408,
20,11614,Lake of the Valley,17413,
20,11615,Long Lake,17415,
20,11618,Buffalo Lake,17421,
20,11619,Cedar Lake,17423,
20,11620,Fox Lake,17425,
20,11621,Bright Lake,17427,
20,11622,South Silver Lake,17429,
20,11623,Budd Lake,17431,
20,11624,Hall Lake,17433,
20,11625,Charlotte Lake,17435,
20,11626,Arco Lake,17437,
20,11627,Josephine Lake,17439,
20,11628,Deming Lake,17441,
20,11629,Squaw Lake,17443,
20,11630,Wood Lake,17445,
20,11631,Sarah Lake,17449,
20,11632,Oaks Lake,17451,
20,11633,Lake Shetek,17453,
20,11634,Talcott Lake,17455,
20,11635,Island Lake,17457,
20,11636,Sturgeon Lake,17459,
20,11637,Coffee Lake,17461,
20,11638,Lords Lake,17463,
20,11639,First Lake,17465,
20,11640,Long Lake,17467,
20,11641,Bald Eagle Lake,17469,
20,11642,Lake Minnewashta,17475,
20,11644,Fall Lake,17478,
20,11645,Meander Lake,17482,
20,11646,Saganaga lake,17484,
20,11647,Trout Bay,17486,
20,11648,Gneiss Lake,17487,
20,11649,Maraboeuf Lake,17488,
20,11650,Burnside Lake,17490,
20,11651,Lake South of Burnside,17492,
20,11652,Basset Lake,17494,
20,11653,Whitefish Lake,17496,
20,11654,Kremer Lake,17498,
20,11655,Surprise lake,17500,
20,11656,Caribou Lake,17502,
20,11657,Fenske Lake,17504,
20,11658,Pine Lake,17510,
20,11659,Nickel Lake,17512,
20,11660,Bass Lake,17514,
20,11661,Big Pine,17516,
20,11662,Cedar Lake,17518,
20,11663,Harriet Lake,17520,
20,11664,Lake Calhoun,17522,
20,11665,Hiawatha Lake,17524,
20,11666,Lake Nokomis,17526,
20,11667,Wirth Lake,17528,
20,11668,Lake of Isles,17530,
20,11669,Washburn lake,17534,
20,11670,Woods Lake,17536,
20,11671,Leavitt Lake,17538,
20,11672,Margaret Lake,17540,
20,11673,Pike Lake,17542,
20,11674,Gull Lake,17544,
20,11675,Nemec Lake,17546,
20,11676,Gardner Lake,17548,
20,11677,Waubun Lake,17552,
20,11678,Fox Lake,17554,
20,11679,Bryant Lake,17556,
20,11680,Lake Riley,17558,
20,11681,Forest Lake,17560,
20,11682,McCarrons Lake,17562,
20,11683,Lake Mazaska,17566,
20,11684,Kandyohi Lake,17568,
20,11685,Lake Wagonga,17570,
20,11686,Green Lake,17572,
20,11687,Cokato Lake,17574,
20,11688,Shields Lake,17576,
20,11689,Madison Lake,17578,
20,11690,Hunt Lake,17582,
20,11691,Tetonka Lake,17586,
20,11692,Willmar Lake,17588,
20,11693,Brownie Lake,17590,
20,11694,School Grove Lake,17592,
20,11695,Christmas Lake,17594,
20,11697,High Lake,17599,
20,11698,Bass Lake,17601,
20,11699,Low Lake,17603,
20,11700,Dry Lake,17605,
20,11701,Hornby Lake,17607,
20,11703,Pine Lake,17611,
20,11704,McIntyre Lake,17613,
20,11705,Indiana Lake,17615,
20,11707,Thompson Lake,17619,
20,11708,Railroad Lake,17621,
20,11709,Red Lake,17623,
20,11710,Tony Lake,17625,
20,11711,Kroon Lake,17627,
20,11712,Shields Lake,17629,
20,11713,Moody Lake,17631,
20,11714,Peterson Lake,17633,
20,11715,Bone Lake,17635,
20,11716,Square Lake,17637,
20,11717,Sand Lake,17639,
20,11718,Lake Andrew,17641,
20,11720,Carver Lake,17647,
20,11721,East Boot Lake,17649,
20,11722,Lake Jane,17651,
20,11723,Long Lake,17653,
20,11724,Powers Lake,17655,
20,11725,Holland Lake,17657,
20,11726,Devils Lake,17659,
20,11727,Cloverdale Lake,17665,
20,11729,Clear Lake,17674,
20,11730,Mays Lake,17676,
20,11731,Clear Lake,17678,
20,11732,Gervais Lake,17681,
20,11733,Lake Owasso,17683,
20,11734,Lake Wabasso,17685,
20,11735,Adams Lake,17687,
20,11737,Comfort Lake,17691,
20,11738,West Boot Lake,17693,
20,11739,Skogman Lake,17695,
20,11740,Goose Lake,17697,
20,11741,Big Horseshoe Lake,17699,
20,11742,Fish Lake,17701,
20,11743,Twin Lake,17703,
20,11744,Twin Lake,17705,
20,11745,Fish (Dakota),17707,
20,11746,Sakatah lake,17709,
20,11762,Tamarack Lake,17771,
20,13313,Woodworth Lake 4,19864,
20,13314,Woodworth Lake 2,19866,
20,13887,Pokegamma Lake,21298,
20,13891,Cucumber Lake,21303,
21,13027,A. Clement,19321,19320
21,13067,Bennetts Pond,19394,19393
21,13028,Campells Pond,19400,19399
21,13029,Cedar Lake,19327,19326
21,13030,Cedar Lake 2,19329,19328
21,13031,Chesler Lake,19331,19330
21,13032,Clint Millpond,19333,19332
21,13033,Cooper River Lake,19335,19334
21,13034,Crystal Spring Lake,19337,19336
21,13035,Cumberland Pond,19339,19338
21,13070,Dennisville Lake,19402,19401
21,13036,Echo Lake,19340,19691
21,13071,Flamingo Lake,19404,19403
21,13037,Gardners Pond,19342,19341
21,13038,Harrisville Lake,19344,19343
21,13074,Japanese Garden,19409,
21,13039,Kittatiny Lake,19346,19345
21,13072,Lefferts Lake ,19406,19405
21,13075,Millhurst Pond,19411,19410
21,13076,Muchshaw Pond,19412,
21,13078,Brainerd Lake(NJSD17_5),19415,
21,13080,Saginaw Lake,19417,19416
22,13045,Spring Grove Pond,19363,
22,13046,Otter Pond ,19364,
22,13047,Little Diamond Pond ,19365,
22,13048,Branch Pond ,19366,
22,13049,Little Averill Pond ,19367,
22,13050,Pocotopaug Lake ,19368,
22,13051,Scott Pond ,19369,
22,13052,Lake Quannapowitt,19370,
22,1688,Flax Pond,19371,
22,13053,White pond ,19372,
22,13054,Bantam Lake ,19373,
22,13055,Hatch Pond ,19374,
22,13056,Wyassup Lake ,19375,
22,13057,Blackmore,19376,
22,13058,Spectacle Pond ,19377,
22,13061,Sip Pond ,19382,
22,13084,Lower Middle Branch Pond,19426,
22,13087,Tripp Pond,19431,
22,1697,Walden Pond ,19434,
22,13090,Keg Lake,19437,
22,13093,Uncas Pond ,19442,
22,13095,Carr Pond ,19445,
22,13096,Billings Lake ,19446,
22,13097,Walkers Pond ,19447,
22,13098,Beseck Lake ,19448,
22,13099,Sheep Pond ,19449,
22,13100,Warwick Pond ,19450,
22,13101,Bashan Lake,19451,
22,13102,White Island Pond ,19452,
22,13103,Boone Lake ,19453,
22,13104,Reservoir Pond ,19454,
22,13105,North Springfield Reservoir ,19455,
22,13106,Lake Mascoma,19456,
22,13107,Success Pond ,19457,
22,13108,Flints Pond,19458,
22,13109,Adder Pond (Hopkins Pond),19459,
22,13110,Lake Winnipesaukee,19460,
22,13111,Sand Pond,19461,
22,13112,Little Sunapee Lake,19462,
22,13113,Kingswood Lake ,19463,
22,13114,Baboosic Lake ,19464,
22,13119,Martin Meadow Pond ,19473,
22,13120,Lake Monnomonac,19474,
22,13122,Howe Reservoir ,19477,
22,13124,Indian Pond ,19480,
22,13126,Canaan Street Lake ,19483,
22,13128,Bow Lake,19486,
22,13130,Cub Pond ,19489,
22,13131,Sunset Lake,19490,
22,13132,Carmi Lake ,19491,
22,13133,Doughty Pond ,19492,
22,13140,North Sibley Pond ,19505,
22,13141,Lake Elmore ,19506,
22,13142,Peacham Pond,19507,
22,13143,Lake Bomoseen ,19508,
22,13144,Sabin Pond ,19509,
22,13145,Indian Brook Reservoir ,19510,
22,13146,Salem Little ,19511,
22,13148,East Long Pond ,19514,
22,13150,Old Marsh Pond,19517,
22,13152,Neal Pond,19520,
22,13154,Iroquois Lake ,19523,
23,13317,Bradford Acres Pond,19872,19871
23,13318,Crawford Pond,19873,19874
23,13319,Crow Hill,19876,19875
23,13320,Flagg Pond,19878,19877
23,13321,Georgia Farm,19880,19879
23,13322,Georgia Farm 2,19881,19879
23,13323,Georgia Farm 3,19882,19879
23,13324,Hamorton Woods,19884,19883
23,13325,Hammer Hallow,19886,19885
23,13326,North Hills,19888,19887
23,13327,Penn Woods,19890,19889
23,13328,Runnymede,19892,19891
23,13329,Vollmecke Farm,19894,19893
23,13330,Wagner Pond,19896,19895
24,13158,Watchu Pond,19531,19530
24,13160,Silver Lake ,19535,19534
24,13163,Rhodo Lake,19541,19540
24,13165,Laurel Lake ,19545,19544
24,13167,Lower Sylvan Lake ,19549,19548
24,13170,Lummis Mill Pond ,19555,19554
24,13172,Hospitality Lake ,19559,19558
24,13174,Albert Lake ,19563,19562
24,13176,Harrisonville Lake,19567,19566
24,13178,Lake Takanassee,19571,19570
24,13181,North Hudson Park Lake ,19577,19576
24,13182,Allamuchy Pond,19579,19578
24,13183,George Lake ,19581,19580
24,13190,Amwell Lake ,19594,19593
24,13191,Girl Scout Pond ,19596,19595
24,13192,Tamarack Lake ,19598,19597
24,13193,Glovers Pond ,19600,19599
24,13194,Ames Lake ,19602,19601
24,13195,Heaters Pond ,19604,19603
24,13196,Heratige Lakes,19606,19605
24,13197,Scarlet Oak Pond ,19608,19607
24,13198,Shepherd Lake ,19610,19609
24,13199,Algonquain Waters Lake ,19612,19611
24,13200,Panther Lake ,19614,19613
24,13201,Stag Pond ,19622,19621
24,13202,Culvers Lake ,19624,19623
24,13203,Wawayanda Lake,19626,19625
24,13204,Rainbow Lakes ,19628,19627
24,13205,Ravine Lake ,19630,19629
24,13206,Sycamore Lake ,19632,19631
24,13207,Stephen Lake ,19634,19633
24,13208,Basgalore Lake ,19636,19635
24,13209,Bee Meadow Pond ,19638,19637
24,13210,Monongahela Lake ,19640,19639
24,13211,Lower Aetna Lake ,19644,19643
24,13212,Weston Mill Pond ,19650,19648
24,13213,Dixons Pond,19654,19653
24,13214,Foxs Pond,19656,19655
24,13215,Mountain Lake ,19660,19659
24,13216,Longwood Lake,19664,19663
24,13217,Lower Twin Lake ,19666,19665
24,13218,Spring Valley Lake,19668,19667
24,13219,Sunfish Pond ,19670,19669
24,13220,East Lake ,19672,19671
24,13222,Turtle Pond,19676,19675
24,13223,Iliff Lake,19678,19677
24,13224,Skyline Lakes ,19680,19679
24,13225,Stone Tavern ,19682,19681
24,13226,Greenwood Pond,19684,19683
25,13227,Bells Lake,19686,19685
25,13228,Cedar Lake 2,19688,19687
25,13229,Chesler Lake ,19690,19689
25,13036,Echo Lake,19692,19691
25,13231,Farrington Lake,19696,19695
25,13037,Gardners Pond,19698,19697
25,13232,Greenwood Lake,19700,19699
25,13233,Jeddys Pond,19702,19701
25,13236,Lefferts Lake,19708,19707
25,13237,Liberty Lake,19710,19709
25,13079,Saginaw Lake,19714,19713
25,13239,Stony Lake ,19716,19715
25,13240,Watchung Lake,19718,19717
26,13241,Colonial Lake,19720,19719
26,13232,Greenwood Lake ,19722,19721
26,13242,Braddocks Millpond ,19724,19723
26,13178,Lake Takanassee,19726,19725
26,13243,Sheppard Pond,19727,
26,13244,Panther Lake,19729,19728
26,13202,Culvers Lake ,19731,19730
26,13203,Wawayanda Lake ,19733,19732
26,13209,Bee Meadow Pond,19735,19734
26,13245,Weston Mill Pond ,19736,
26,13246,Valhalla Lake ,19737,
26,13215,Mountain Lake ,19738,
26,13247,Crystal Lake,19739,
26,13219,Sunfish Pond,19740,
26,13223,Iliff Lake,19741,
26,13224,Skyline Lakes ,19742,
26,13225,Stone Tavern ,19743,
26,13248,Marcia Lake,19745,19744
26,13249,Decou Pond ,19747,19746
26,13250,Terrace Pond,19749,19748
26,13251,Surprise Lake ,19751,19750
26,13252,Budd Lake ,19752,
26,13253,White Lake-Sparta ,19753,
26,13254,Laurel Pond ,19754,
26,13255,West Pond,19755,19756
26,13256,Franklin Pond ,19757,
26,13257,Goose pond ,19758,
26,13258,Lake Hopatcong,19759,
26,953,Green Pond ,19760,
26,13259,Green Turtle Lake ,19761,
26,13261,Stickle Pond ,19764,
26,13263,Howell Pond ,19767,
26,13264,Lake Aeroflex,19768,
26,13265,Lake Owassa ,19769,
